bad_token,filename
Aยสบส,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_14__party_list_vote_page_2.md
Aสบส,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_14__party_list_vote_page_2.md
Aสรยหาสบเอด,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_3.md
Aหารอย,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_14__party_list_vote_page_3.md
bหนงรอยสสบ,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_6__party_list_vote_page_3.md
กก,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_1__party_list_vote_page_1.md
กน,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_13__party_list_vote_page_2.md
กนหา,district_ban_thi__02_subdistrict_huai_yap__polling_unit_3__party_list_vote_page_2.md
กฝ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
กฟ,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_1__party_list_vote_page_1.md
กม,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_9__party_list_vote_page_2.md
กลองเกา,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_18__party_list_vote_page_3.md
กลาง,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_12__party_list_vote_page_2.md
กลางฝง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_3.md
กอง,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_2.md
กองชวยเหลอราษฎร,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_5__party_list_vote_page_3.md
กอย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_16__party_list_vote_page_2.md
กา,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_1__party_list_vote_page_2.md
กาม,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
กาว,district_mueang_lamphun__12_subdistrict_umong__polling_unit_8__party_list_vote_page_3.md
กาวอสระ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ขน,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_2.md
ขนง,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
ขนน,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
ขบเคลอน,advance_outside_district_and_overseas__party_list_vote_03_page_2.md
ขาวหลง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_3__party_list_vote_page_3.md
ค,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_7__party_list_vote_page_1.md
คค,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_16__party_list_vote_page_3.md
คณ,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_4__party_list_vote_page_3.md
คณส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
คท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
คน,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_2.md
คนง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_11__party_list_vote_page_2.md
คนช,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_1__party_list_vote_page_2.md
คนชย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนด,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนถนน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_12__party_list_vote_page_1.md
คนธ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_4__party_list_vote_page_3.md
คนน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__party_list_vote_page_2.md
คนนง,district_mueang_lamphun__15_office_ban_paen__polling_unit_2__party_list_vote_page_3.md
คนป,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_1__party_list_vote_page_2.md
คนปก,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_2.md
คนปธ,district_mueang_lamphun__12_subdistrict_umong__polling_unit_8__party_list_vote_page_3.md
คนปา,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนปาตาทน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_4__party_list_vote_page_3.md
คนผ,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
คนผดกำหนด,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_15__party_list_vote_page_2.md
คนฝ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_6__party_list_vote_page_2.md
คนม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_1__party_list_vote_page_2.md
คนย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_5__party_list_vote_page_2.md
คนยง,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนร,district_mueang_lamphun__15_office_ban_paen__polling_unit_1__party_list_vote_page_2.md
คนรง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_11__party_list_vote_page_2.md
คนรวมกน,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_7__party_list_vote_page_3.md
คนรอยหาสบ,district_mueang_lamphun__06_subdistrict_nong_nam__polling_unit_5__party_list_vote_page_3.md
คนรอยเจดสบหา,district_mueang_lamphun__06_subdistrict_nong_nam__polling_unit_5__party_list_vote_page_3.md
คนราย,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_1.md
คนว,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_1__party_list_vote_page_2.md
คนวา,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_8__party_list_vote_page_2.md
คนสง,district_ban_thi__02_subdistrict_huai_yap__polling_unit_13__party_list_vote_page_2.md
คนแนน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_12__party_list_vote_page_2.md
คบขย,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
คปท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_19__party_list_vote_page_3.md
คฝ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
คมอ,district_mae_tha__06_subdistrict_tha_kat__polling_unit_9__party_list_vote_page_1.md
ครงพนหาสบ,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_9__party_list_vote_page_3.md
ครงรอบปสมยใหม,district_ban_thi__01_subdistrict_ban_thi__polling_unit_5__constituency_vote_page_1.md
ครไทยเพอประชาชน,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
คลองไทย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
คอนขางนอย,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_10__party_list_vote_page_3.md
คอนขางมาก,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_10__party_list_vote_page_3.md
คอนขางสง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_17__party_list_vote_page_3.md
คอมมนสต,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
คะแนน,advance_outside_district_and_overseas__constituency_vote_07_page_1.md
คะแนนสบ,district_mae_tha__12_subdistrict_tha_mae_lop__polling_unit_8__party_list_vote_page_1.md
คะแนนหนงคะแนน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_12__party_list_vote_page_1.md
คาเทน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_15__party_list_vote_page_3.md
จำนวนบตรเลอกตง,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนบตรเลอกตงทเหลอจำนวนบตร,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนบตรเลอกตงทใช,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนบตรเลอกตงทไดรบจดสรรจำนวนบตรหารอยยสบบตร,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนผมสทธเลอกตง,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
