party_name,filename
,advance_outside_district_and_overseas__constituency_vote_08_page_1.md
-,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_4__party_list_vote_page_1.md
/,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_4__party_list_vote_page_1.md
0,district_ban_thi__02_subdistrict_huai_yap__polling_unit_11__party_list_vote_page_2.md
1,district_ban_thi__02_subdistrict_huai_yap__polling_unit_11__party_list_vote_page_2.md
13,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
160,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
2,district_ban_thi__02_subdistrict_huai_yap__polling_unit_11__party_list_vote_page_2.md
255,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_3.md
27,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
3,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
4,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_3.md
469,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_3.md
5,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_3.md
6,district_ban_thi__02_subdistrict_huai_yap__polling_unit_11__party_list_vote_page_2.md
60,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_3.md
7.,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_10__party_list_vote_page_2.md
8,district_ban_thi__02_subdistrict_huai_yap__polling_unit_11__party_list_vote_page_2.md
กรุงเทพมหานคร,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_3.md
กลาธรรม,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_6__constituency_vote_page_1.md
กลาโหม,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_5__party_list_vote_page_3.md
กล้วยธรรม,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_3.md
กล้ำธรรม,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_16__constituency_vote_page_1.md
ก้าวลิสรณ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_8__party_list_vote_page_2.md
ก้าวลิสรระ,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_4__party_list_vote_page_2.md
ก้าวลิสรละ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_1__party_list_vote_page_2.md
ก้าวลิสระ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_10__party_list_vote_page_2.md
ก้าวลิ่วสระ,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_15__party_list_vote_page_2.md
คลองไทยสภาชาติ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_17__party_list_vote_page_2.md
คลองไทยสาขาติ,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_6__party_list_vote_page_2.md
คล้าธรรม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_2__party_list_vote_page_3.md
