party,score
ไทยทรัพย์ทวี,1
เพื่อชาติไทย,2
ใหม่,0
มิติใหม่,0
รวมใจไทย,1
รวมไทยสร้างชาติ,6
พลวัต,1
ประชาธิปไตยใหม่,0
เพื่อไทย,68
ทางเลือกใหม่,1
เศรษฐกิจ,7
เสรีรวมไทย,1
รวมพลังประชาชน,1
ท้องที่ไทย,0
อนาคตไทย,1
พลังเพื่อไทย,1
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,8
ไทยก้าวหน้า,0
ไทยภักดี,4
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,2
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,1
ไทยพร้อม,0
ภูมิใจไทย,47
พลังธรรมใหม่,0
กรีน,1
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,3
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,536
ประชาไทย,1
ไทยสร้างไทย,1
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
