party,score
ไทยทรัพย์ทวี,14
เพื่อชาติไทย,5
ใหม่,1
มิติใหม่,2
รวมใจไทย,6
รวมไทยสร้างชาติ,10
พลวัต,2
ประชาธิปไตยใหม่,2
เพื่อไทย,105
ทางเลือกใหม่,2
เศรษฐกิจ,7
เสรีรวมไทย,2
รวมพลังประชาชน,2
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,3
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,7
ไทยก้าวหน้า,2
ไทยภักดี,1
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,1
สร้างอนาคตไทย,1
รักชาติ,1
ไทยพร้อม,0
ภูมิใจไทย,25
พลังธรรมใหม่,3
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,1
กล้าธรรม,2
พลังประชารัฐ,0
โอกาสใหม่,5
เป็นธรรม,1
ประชาชน,163
ประชาไทย,1
ไทยสร้างไทย,1
ไทยก้าวใหม่,1
ประชาอาสาชาติ,0
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
