party,score
ไทยทรัพย์ทวี,7
เพื่อชาติไทย,8
ใหม่,0
มิติใหม่,0
รวมใจไทย,1
รวมไทยสร้างชาติ,6
พลวัต,0
ประชาธิปไตยใหม่,1
เพื่อไทย,89
ทางเลือกใหม่,2
เศรษฐกิจ,5
เสรีรวมไทย,0
รวมพลังประชาชน,3
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,2
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,1
ประชาธิปัตย์,8
ไทยก้าวหน้า,0
ไทยภักดี,2
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,1
สร้างอนาคตไทย,1
รักชาติ,1
ไทยพร้อม,1
ภูมิใจไทย,6
พลังธรรมใหม่,2
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,2
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,1
ประชาชน,101
ประชาไทย,1
ไทยสร้างไทย,2
ไทยก้าวใหม่,3
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,1
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,2
