party,score
ไทยทรัพย์ทวี,9
เพื่อชาติไทย,12
ใหม่,0
มิติใหม่,4
รวมใจไทย,6
รวมไทยสร้างชาติ,4
พลวัต,0
ประชาธิปไตยใหม่,9
เพื่อไทย,88
ทางเลือกใหม่,3
เศรษฐกิจ,10
เสรีรวมไทย,0
รวมพลังประชาชน,3
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,1
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,2
ไทรวมพลัง,0
ก้าวอิสระ,2
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,1
ประชาธิปัตย์,23
ไทยก้าวหน้า,2
ไทยภักดี,1
แรงงานสร้างชาติ,2
ประชากรไทย,2
ครูไทยเพื่อประชาชน,1
ประชาชาติ,0
สร้างอนาคตไทย,1
รักชาติ,0
ไทยพร้อม,1
ภูมิใจไทย,31
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,4
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,158
ประชาไทย,0
ไทยสร้างไทย,3
ไทยก้าวใหม่,1
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,1
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,2
