party,score
ไทยทรัพย์ทวี,8
เพื่อชาติไทย,5
ใหม่,3
มิติใหม่,2
รวมใจไทย,4
รวมไทยสร้างชาติ,11
พลวัต,1
ประชาธิปไตยใหม่,6
เพื่อไทย,36
ทางเลือกใหม่,0
เศรษฐกิจ,0
เสรีรวมไทย,0
รวมพลังประชาชน,0
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,4
ไทยชนะ,0
พลังสังคมใหม่,1
สังคมประชาธิปไตยไทย,1
ฟิวชัน,2
ไทรวมพลัง,2
ก้าวอิสระ,2
ปวงชนไทย,3
วิชชั่นใหม่,3
เพื่อชีวิตใหม่,0
คลองไทย,3
ประชาธิปัตย์,8
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,1
ประชากรไทย,0
ครูไทยเพื่อประชาชน,1
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,2
พลังธรรมใหม่,2
กรีน,0
ไทยธรรม,1
แผ่นดินธรรม,2
กล้าธรรม,0
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,1
ประชาชน,15
ประชาไทย,0
ไทยสร้างไทย,0
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
