party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,8
ใหม่,1
มิติใหม่,1
รวมใจไทย,1
รวมไทยสร้างชาติ,5
พลวัต,1
ประชาธิปไตยใหม่,2
เพื่อไทย,98
ทางเลือกใหม่,4
เศรษฐกิจ,11
เสรีรวมไทย,0
รวมพลังประชาชน,2
ท้องที่ไทย,1
อนาคตไทย,2
พลังเพื่อไทย,4
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,1
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,8
ไทยก้าวหน้า,2
ไทยภักดี,1
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,1
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,1
ไทยพร้อม,0
ภูมิใจไทย,39
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,0
โอกาสใหม่,5
เป็นธรรม,0
ประชาชน,208
ประชาไทย,0
ไทยสร้างไทย,2
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,1
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
