party,score
ไทยทรัพย์ทวี,4
เพื่อชาติไทย,4
ใหม่,2
มิติใหม่,1
รวมใจไทย,3
รวมไทยสร้างชาติ,15
พลวัต,2
ประชาธิปไตยใหม่,4
เพื่อไทย,11
ทางเลือกใหม่,2
เศรษฐกิจ,13
เสรีรวมไทย,2
รวมพลังประชาชน,5
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,1
ก้าวอิสระ,1
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,0
ไทยก้าวหน้า,0
ไทยภักดี,4
แรงงานสร้างชาติ,1
ประชากรไทย,1
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,1
ไทยพร้อม,1
ภูมิใจไทย,47
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,3
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,1
ประชาชน,0
ประชาไทย,0
ไทยสร้างไทย,2
ไทยก้าวใหม่,4
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,1
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,1
