party,score
ไทยทรัพย์ทวี,2
เพื่อชาติไทย,6
ใหม่,0
มิติใหม่,1
รวมใจไทย,1
รวมไทยสร้างชาติ,7
พลวัต,1
ประชาธิปไตยใหม่,3
เพื่อไทย,68
ทางเลือกใหม่,5
เศรษฐกิจ,23
เสรีรวมไทย,2
รวมพลังประชาชน,3
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,1
ไทยชนะ,0
พลังสังคมใหม่,2
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,10
ไทยก้าวหน้า,2
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,1
ประชาชาติ,2
สร้างอนาคตไทย,2
รักชาติ,1
ไทยพร้อม,1
ภูมิใจไทย,58
พลังธรรมใหม่,0
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,1
กล้าธรรม,4
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,291
ประชาไทย,0
ไทยสร้างไทย,6
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
