party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,11
ใหม่,3
มิติใหม่,1
รวมใจไทย,3
รวมไทยสร้างชาติ,3
พลวัต,1
ประชาธิปไตยใหม่,5
เพื่อไทย,113
ทางเลือกใหม่,1
เศรษฐกิจ,10
เสรีรวมไทย,0
รวมพลังประชาชน,4
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,2
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,1
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,6
ไทยก้าวหน้า,1
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,27
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,2
พลังประชารัฐ,0
โอกาสใหม่,2
เป็นธรรม,0
ประชาชน,128
ประชาไทย,0
ไทยสร้างไทย,2
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
