party,score
ไทยทรัพย์ทวี,13
เพื่อชาติไทย,9
ใหม่,2
มิติใหม่,3
รวมใจไทย,6
รวมไทยสร้างชาติ,12
พลวัต,3
ประชาธิปไตยใหม่,12
เพื่อไทย,71
ทางเลือกใหม่,1
เศรษฐกิจ,5
เสรีรวมไทย,1
รวมพลังประชาชน,1
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,2
ไทยชนะ,1
พลังสังคมใหม่,1
สังคมประชาธิปไตยไทย,2
ฟิวชัน,0
ไทรวมพลัง,1
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,10
ไทยก้าวหน้า,3
ไทยภักดี,0
แรงงานสร้างชาติ,2
ประชากรไทย,1
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,1
รักชาติ,1
ไทยพร้อม,1
ภูมิใจไทย,14
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,2
พลังประชารัฐ,1
โอกาสใหม่,1
เป็นธรรม,1
ประชาชน,125
ประชาไทย,0
ไทยสร้างไทย,1
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
