party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,2
ใหม่,1
มิติใหม่,0
รวมใจไทย,3
รวมไทยสร้างชาติ,9
พลวัต,1
ประชาธิปไตยใหม่,6
เพื่อไทย,3
ทางเลือกใหม่,0
เศรษฐกิจ,8
เสรีรวมไทย,5
รวมพลังประชาชน,5
ท้องที่ไทย,2
อนาคตไทย,2
พลังเพื่อไทย,3
ไทยชนะ,2
พลังสังคมใหม่,2
สังคมประชาธิปไตยไทย,0
ฟิวชัน,2
ไทรวมพลัง,2
ก้าวอิสระ,2
ปวงชนไทย,1
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,2
คลองไทย,2
ประชาธิปัตย์,15
ไทยก้าวหน้า,2
ไทยภักดี,2
แรงงานสร้างชาติ,1
ประชากรไทย,1
ครูไทยเพื่อประชาชน,2
ประชาชาติ,2
สร้างอนาคตไทย,2
รักชาติ,1
ไทยพร้อม,2
ภูมิใจไทย,35
พลังธรรมใหม่,1
กรีน,1
ไทยธรรม,1
แผ่นดินธรรม,1
กล้าธรรม,2
พลังประชารัฐ,1
โอกาสใหม่,4
เป็นธรรม,1
ประชาชน,166
ประชาไทย,1
ไทยสร้างไทย,3
ไทยก้าวใหม่,2
ประชาอาสาชาติ,1
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,1
ไทยพิทักษ์ธรรม,1
ความหวังใหม่,2
ไทยรวมไทย,1
เพื่อบ้านเมือง,1
พลังไทยรักชาติ,1
