party,score
ไทยทรัพย์ทวี,3
เพื่อชาติไทย,12
ใหม่,0
มิติใหม่,1
รวมใจไทย,0
รวมไทยสร้างชาติ,13
พลวัต,0
ประชาธิปไตยใหม่,7
เพื่อไทย,130
ทางเลือกใหม่,1
เศรษฐกิจ,14
เสรีรวมไทย,2
รวมพลังประชาชน,2
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,2
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,3
ประชาธิปัตย์,23
ไทยก้าวหน้า,1
ไทยภักดี,3
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,2
ไทยพร้อม,1
ภูมิใจไทย,25
พลังธรรมใหม่,0
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,5
พลังประชารัฐ,0
โอกาสใหม่,1
เป็นธรรม,0
ประชาชน,145
ประชาไทย,1
ไทยสร้างไทย,1
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,1
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
