party,score
ไทยทรัพย์ทวี,1
เพื่อชาติไทย,6
ใหม่,1
มิติใหม่,0
รวมใจไทย,4
รวมไทยสร้างชาติ,10
พลวัต,0
ประชาธิปไตยใหม่,6
เพื่อไทย,94
ทางเลือกใหม่,3
เศรษฐกิจ,13
เสรีรวมไทย,0
รวมพลังประชาชน,0
ท้องที่ไทย,0
อนาคตไทย,1
พลังเพื่อไทย,0
ไทยชนะ,0
พลังสังคมใหม่,1
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,3
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,23
ไทยก้าวหน้า,2
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,1
ครูไทยเพื่อประชาชน,1
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,2
ไทยพร้อม,0
ภูมิใจไทย,16
พลังธรรมใหม่,0
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,4
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,125
ประชาไทย,1
ไทยสร้างไทย,1
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
