party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,8
ใหม่,2
มิติใหม่,2
รวมใจไทย,3
รวมไทยสร้างชาติ,13
พลวัต,1
ประชาธิปไตยใหม่,9
เพื่อไทย,42
ทางเลือกใหม่,2
เศรษฐกิจ,6
เสรีรวมไทย,2
รวมพลังประชาชน,2
ท้องที่ไทย,3
อนาคตไทย,0
พลังเพื่อไทย,2
ไทยชนะ,2
พลังสังคมใหม่,1
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,1
ก้าวอิสระ,1
ปวงชนไทย,1
วิชชั่นใหม่,3
เพื่อชีวิตใหม่,0
คลองไทย,2
ประชาธิปัตย์,12
ไทยก้าวหน้า,3
ไทยภักดี,1
แรงงานสร้างชาติ,2
ประชากรไทย,2
ครูไทยเพื่อประชาชน,0
ประชาชาติ,1
สร้างอนาคตไทย,2
รักชาติ,0
ไทยพร้อม,1
ภูมิใจไทย,21
พลังธรรมใหม่,1
กรีน,1
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,1
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,92
ประชาไทย,1
ไทยสร้างไทย,2
ไทยก้าวใหม่,1
ประชาอาสาชาติ,1
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,2
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
