party,score
ไทยทรัพย์ทวี,6
เพื่อชาติไทย,6
ใหม่,2
มิติใหม่,5
รวมใจไทย,1
รวมไทยสร้างชาติ,3
พลวัต,0
ประชาธิปไตยใหม่,3
เพื่อไทย,48
ทางเลือกใหม่,2
เศรษฐกิจ,12
เสรีรวมไทย,1
รวมพลังประชาชน,7
ท้องที่ไทย,0
อนาคตไทย,1
พลังเพื่อไทย,0
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,1
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,24
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,1
ประชากรไทย,0
ครูไทยเพื่อประชาชน,1
ประชาชาติ,0
สร้างอนาคตไทย,1
รักชาติ,1
ไทยพร้อม,1
ภูมิใจไทย,25
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,1
แผ่นดินธรรม,0
กล้าธรรม,1
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,131
ประชาไทย,3
ไทยสร้างไทย,1
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,2
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,1
