party,score
ไทยทรัพย์ทวี,3
เพื่อชาติไทย,5
ใหม่,0
มิติใหม่,0
รวมใจไทย,0
รวมไทยสร้างชาติ,5
พลวัต,0
ประชาธิปไตยใหม่,5
เพื่อไทย,44
ทางเลือกใหม่,0
เศรษฐกิจ,14
เสรีรวมไทย,3
รวมพลังประชาชน,0
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,1
ไทยชนะ,0
พลังสังคมใหม่,1
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,1
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,16
ไทยก้าวหน้า,0
ไทยภักดี,2
แรงงานสร้างชาติ,0
ประชากรไทย,1
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,10
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,1
กล้าธรรม,2
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,21
ประชาไทย,2
ไทยสร้างไทย,1
ไทยก้าวใหม่,4
ประชาอาสาชาติ,1
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,1
