party,score
ไทยทรัพย์ทวี,1
เพื่อชาติไทย,0
ใหม่,0
มิติใหม่,0
รวมใจไทย,0
รวมไทยสร้างชาติ,0
พลวัต,0
ประชาธิปไตยใหม่,2
เพื่อไทย,44
ทางเลือกใหม่,1
เศรษฐกิจ,0
เสรีรวมไทย,0
รวมพลังประชาชน,0
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,0
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,1
ไทยพร้อม,1
ภูมิใจไทย,33
พลังธรรมใหม่,1
กรีน,1
ไทยธรรม,1
แผ่นดินธรรม,1
กล้าธรรม,2
พลังประชารัฐ,1
โอกาสใหม่,4
เป็นธรรม,1
ประชาชน,189
ประชาไทย,1
ไทยสร้างไทย,3
ไทยก้าวใหม่,2
ประชาอาสาชาติ,1
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,1
ไทยพิทักษ์ธรรม,1
ความหวังใหม่,1
ไทยรวมไทย,1
เพื่อบ้านเมือง,1
พลังไทยรักชาติ,1
