party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,9
ใหม่,5
มิติใหม่,2
รวมใจไทย,6
รวมไทยสร้างชาติ,14
พลวัต,3
ประชาธิปไตยใหม่,6
เพื่อไทย,53
ทางเลือกใหม่,0
เศรษฐกิจ,8
เสรีรวมไทย,1
รวมพลังประชาชน,5
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,3
ฟิวชัน,2
ไทรวมพลัง,2
ก้าวอิสระ,1
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,3
คลองไทย,3
ประชาธิปัตย์,5
ไทยก้าวหน้า,3
ไทยภักดี,4
แรงงานสร้างชาติ,1
ประชากรไทย,1
ครูไทยเพื่อประชาชน,1
ประชาชาติ,1
สร้างอนาคตไทย,1
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,0
พลังธรรมใหม่,2
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,2
กล้าธรรม,5
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,2
ประชาชน,61
ประชาไทย,0
ไทยสร้างไทย,0
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
