party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,5
ใหม่,3
มิติใหม่,3
รวมใจไทย,3
รวมไทยสร้างชาติ,4
พลวัต,2
ประชาธิปไตยใหม่,5
เพื่อไทย,145
ทางเลือกใหม่,2
เศรษฐกิจ,3
เสรีรวมไทย,0
รวมพลังประชาชน,2
ท้องที่ไทย,0
อนาคตไทย,1
พลังเพื่อไทย,3
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,1
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,1
ไทยก้าวหน้า,0
ไทยภักดี,1
แรงงานสร้างชาติ,0
ประชากรไทย,1
ครูไทยเพื่อประชาชน,2
ประชาชาติ,1
สร้างอนาคตไทย,0
รักชาติ,2
ไทยพร้อม,1
ภูมิใจไทย,35
พลังธรรมใหม่,2
กรีน,0
ไทยธรรม,1
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,1
ประชาชน,11
ประชาไทย,1
ไทยสร้างไทย,2
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
