party,score
ไทยทรัพย์ทวี,1
เพื่อชาติไทย,2
ใหม่,2
มิติใหม่,0
รวมใจไทย,3
รวมไทยสร้างชาติ,2
พลวัต,0
ประชาธิปไตยใหม่,4
เพื่อไทย,97
ทางเลือกใหม่,1
เศรษฐกิจ,14
เสรีรวมไทย,5
รวมพลังประชาชน,1
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,0
พลังสังคมใหม่,1
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,9
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,1
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,27
พลังธรรมใหม่,0
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,199
ประชาไทย,0
ไทยสร้างไทย,1
ไทยก้าวใหม่,3
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
