party,score
ไทยทรัพย์ทวี,7
เพื่อชาติไทย,1
ใหม่,1
มิติใหม่,0
รวมใจไทย,2
รวมไทยสร้างชาติ,8
พลวัต,1
ประชาธิปไตยใหม่,3
เพื่อไทย,81
ทางเลือกใหม่,2
เศรษฐกิจ,13
เสรีรวมไทย,1
รวมพลังประชาชน,2
ท้องที่ไทย,1
อนาคตไทย,1
พลังเพื่อไทย,1
ไทยชนะ,1
พลังสังคมใหม่,1
สังคมประชาธิปไตยไทย,0
ฟิวชัน,1
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,1
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,19
ไทยก้าวหน้า,0
ไทยภักดี,3
แรงงานสร้างชาติ,1
ประชากรไทย,1
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,1
ไทยพร้อม,2
ภูมิใจไทย,38
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,195
ประชาไทย,0
ไทยสร้างไทย,2
ไทยก้าวใหม่,3
ประชาอาสาชาติ,1
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
