party,score
ไทยทรัพย์ทวี,3
เพื่อชาติไทย,3
ใหม่,1
มิติใหม่,1
รวมใจไทย,1
รวมไทยสร้างชาติ,3
พลวัต,0
ประชาธิปไตยใหม่,3
เพื่อไทย,8
ทางเลือกใหม่,0
เศรษฐกิจ,5
เสรีรวมไทย,1
รวมพลังประชาชน,2
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,1
ไทรวมพลัง,1
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,13
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,19
พลังธรรมใหม่,0
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,1
โอกาสใหม่,1
เป็นธรรม,0
ประชาชน,105
ประชาไทย,1
ไทยสร้างไทย,3
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
