party,score
ไทยทรัพย์ทวี,2
เพื่อชาติไทย,1
ใหม่,0
มิติใหม่,0
รวมใจไทย,0
รวมไทยสร้างชาติ,4
พลวัต,1
ประชาธิปไตยใหม่,3
เพื่อไทย,1
ทางเลือกใหม่,4
เศรษฐกิจ,0
เสรีรวมไทย,0
รวมพลังประชาชน,0
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,0
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,1
ไทยพร้อม,0
ภูมิใจไทย,20
พลังธรรมใหม่,1
กรีน,3
ไทยธรรม,3
แผ่นดินธรรม,1
กล้าธรรม,2
พลังประชารัฐ,0
โอกาสใหม่,1
เป็นธรรม,1
ประชาชน,218
ประชาไทย,1
ไทยสร้างไทย,2
ไทยก้าวใหม่,2
ประชาอาสาชาติ,1
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,3
ไทยพิทักษ์ธรรม,1
ความหวังใหม่,1
ไทยรวมไทย,1
เพื่อบ้านเมือง,1
พลังไทยรักชาติ,3
