party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,4
ใหม่,3
มิติใหม่,3
รวมใจไทย,1
รวมไทยสร้างชาติ,9
พลวัต,0
ประชาธิปไตยใหม่,2
เพื่อไทย,88
ทางเลือกใหม่,0
เศรษฐกิจ,19
เสรีรวมไทย,1
รวมพลังประชาชน,4
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,3
ประชาธิปัตย์,51
ไทยก้าวหน้า,0
ไทยภักดี,3
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,1
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,62
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,1
กล้าธรรม,2
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,215
ประชาไทย,0
ไทยสร้างไทย,6
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,2
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
