party,score
ไทยทรัพย์ทวี,4
เพื่อชาติไทย,0
ใหม่,3
มิติใหม่,1
รวมใจไทย,1
รวมไทยสร้างชาติ,5
พลวัต,0
ประชาธิปไตยใหม่,6
เพื่อไทย,9
ทางเลือกใหม่,0
เศรษฐกิจ,11
เสรีรวมไทย,5
รวมพลังประชาชน,1
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,1
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,3
คลองไทย,3
ประชาธิปัตย์,3
ไทยก้าวหน้า,1
ไทยภักดี,2
แรงงานสร้างชาติ,3
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,36
พลังธรรมใหม่,0
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,149
ประชาไทย,0
ไทยสร้างไทย,1
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
