party,score
ไทยทรัพย์ทวี,1
เพื่อชาติไทย,3
ใหม่,1
มิติใหม่,4
รวมใจไทย,3
รวมไทยสร้างชาติ,3
พลวัต,2
ประชาธิปไตยใหม่,11
เพื่อไทย,131
ทางเลือกใหม่,2
เศรษฐกิจ,6
เสรีรวมไทย,0
รวมพลังประชาชน,4
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,4
ไทยชนะ,2
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,1
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,1
ประชาธิปัตย์,18
ไทยก้าวหน้า,1
ไทยภักดี,0
แรงงานสร้างชาติ,3
ประชากรไทย,0
ครูไทยเพื่อประชาชน,1
ประชาชาติ,1
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,1
ภูมิใจไทย,57
พลังธรรมใหม่,2
กรีน,1
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,0
โอกาสใหม่,1
เป็นธรรม,0
ประชาชน,151
ประชาไทย,0
ไทยสร้างไทย,2
ไทยก้าวใหม่,3
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,2
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
