party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,6
ใหม่,2
มิติใหม่,1
รวมใจไทย,2
รวมไทยสร้างชาติ,6
พลวัต,1
ประชาธิปไตยใหม่,9
เพื่อไทย,151
ทางเลือกใหม่,2
เศรษฐกิจ,7
เสรีรวมไทย,5
รวมพลังประชาชน,7
ท้องที่ไทย,1
อนาคตไทย,0
พลังเพื่อไทย,3
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,2
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,22
ไทยก้าวหน้า,1
ไทยภักดี,3
แรงงานสร้างชาติ,0
ประชากรไทย,1
ครูไทยเพื่อประชาชน,0
ประชาชาติ,1
สร้างอนาคตไทย,2
รักชาติ,0
ไทยพร้อม,3
ภูมิใจไทย,55
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,1
กล้าธรรม,3
พลังประชารัฐ,1
โอกาสใหม่,1
เป็นธรรม,0
ประชาชน,382
ประชาไทย,1
ไทยสร้างไทย,1
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
