arabic_vote,thai_vote,party_name,filename
36287,สามสิบหก,ประชาชน,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_12__constituency_vote_page_1.md
8627,สิบสอง,ภูมิใจไทย,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_1__constituency_vote_page_1.md
4120,ศูนย์,วิชชั่นใหม่,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_6__constituency_vote_page_1.md
3729,สามสิบเจ็ด,ภูมิใจไทย,district_mueang_lamphun__12_subdistrict_umong__polling_unit_9__constituency_vote_page_1.md
2588,แปดสิบแปด,เพื่อไทย,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_12__party_list_vote_page_1.md
2471,สองสี่ร้อยเจ็ด,ประชาไทย,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_9__party_list_vote_page_3.md
1730,สี่ร้อยห้าสิบเก้า,เป็นธรรม,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_8__party_list_vote_page_3.md
1083,หนึ่ง,ไทยก้าวใหม่,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_12__constituency_vote_page_1.md
1025,ศูนย์หนึ่ง,พลังเพื่อไทย,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_9__party_list_vote_page_2.md
999,เก้าร้อยเก้าสิบเก้า,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_4__constituency_vote_page_1.md
994,เก้าร้อยเก้าสิบสี่,ไทยทรัพย์ทวี,district_ban_thi__01_subdistrict_ban_thi__polling_unit_14__party_list_vote_page_1.md
991,หนึ่งร้อยเก้าสิบเอ็ด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_16__party_list_vote_page_3.md
986,สองร้อยแปดสิบหก,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_2__constituency_vote_page_1.md
944,สามร้อยสี่สิบสี่,ประธาน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_16__constituency_vote_page_1.md
915,สามร้อยสิบห้า,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_2__constituency_vote_page_1.md
902,สามซอย,ประชาชน,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_4__constituency_vote_page_1.md
869,แปดพันหกร้อยเก้าสิบเก้า,รวมไทยสร้างชาติ,district_mueang_lamphun__06_subdistrict_nong_nam__polling_unit_6__party_list_vote_page_1.md
797,,ไทรวมพลัง,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,ไทยภักดี,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,ไทยชนะ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,แรงงานสร้างชาติ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,เพื่อชีวิตใหม่,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,อนาคตไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,สังคมประชาธิปไตยไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,สร้างอนาคตไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,วิชชั่นใหม่,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,พิวซัน,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,พลังสังคมใหม่,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,ปวงชนไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,ประชาธิปัตย์,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,ประชาชาติ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
797,,ประชากรไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
