party,score,election_type,ballot_type,amphoe,tambon,source_file
ประชาชน,9,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
ไทยก้าวใหม่,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
ภูมิใจไทย,1,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
ประชาธิปัตย์,4,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
เศรษฐกิจ,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
กล้าธรรม,1,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
รวมไทยสร้างชาติ,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
เพื่อไทย,1,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
เสรีรวมไทย,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
วิชชั่นใหม่,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__constituency_vote_09.csv
ไทยทรัพย์ทวี,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
เพื่อชาติไทย,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
ใหม่,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
มิติใหม่,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
รวมใจไทย,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
รวมไทยสร้างชาติ,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
พลวัต,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
ประชาธิปไตยใหม่,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
เพื่อไทย,1,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
ทางเลือกใหม่,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
เศรษฐกิจ,1,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
เสรีรวมไทย,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
รวมพลังประชาชน,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
ท้องที่ไทย,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
อนาคตไทย,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
พลังเพื่อไทย,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
ไทยชนะ,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
พลังสังคมใหม่,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
สังคมประชาธิปไตยไทย,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
ฟิวชัน,0,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__party_list_vote_09.csv
