party,score,election_type,ballot_type,amphoe,tambon,source_file
ประชาชน,9,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
ไทยก้าวใหม่,1,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
ภูมิใจไทย,1,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
ประชาธิปัตย์,2,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
เศรษฐกิจ,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
กล้าธรรม,1,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
รวมไทยสร้างชาติ,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
เพื่อไทย,1,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
เสรีรวมไทย,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
วิชช์ใหม่,0,ล่วงหน้าในเขต,แบ่งเขต,,,advance_in_district__ส.ส.5-16 ชุดที่ 9.csv
เพื่อไทย,1,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__ส.ส.5-16(บช) ชุดที่ 9.csv
เศรษฐกิจ,1,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__ส.ส.5-16(บช) ชุดที่ 9.csv
ประชาธิปัตย์,2,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__ส.ส.5-16(บช) ชุดที่ 9.csv
ภูมิใจไทย,2,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__ส.ส.5-16(บช) ชุดที่ 9.csv
กล้าธรรม,1,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__ส.ส.5-16(บช) ชุดที่ 9.csv
ประชาชน,9,ล่วงหน้าในเขต,บัญชีรายชื่อ,,,advance_in_district__ส.ส.5-16(บช) ชุดที่ 9.csv
เพื่อชาติไทย,3,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
เศรษฐกิจ,9,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
เสรีรวมไทย,1,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
รวมพลังประชาชน,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ท้องที่ไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
อนาคตไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
พลังเพื่อไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ไทยชนะ,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
พลังสังคมใหม่,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
สังคมประชาธิปไตยไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ฟิวชัน,1,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ไทรวมพลัง,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ก้าวอิสระ,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ปวงชนไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
วิชชั่นใหม่,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
เพื่อชีวิตใหม่,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
คลองไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ประชาธิปัตย์,21,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ไทยก้าวหน้า,3,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ไทยภักดี,1,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
แรงงานสร้างชาติ,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ประชากรไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ครูไทยเพื่อประชาชน,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ประชาชาติ,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
สร้างอนาคตไทย,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
รักชาติ,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ไทยพร้อม,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ภูมิใจไทย,43,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
พลังธรรมใหม่,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
กรีน,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ไทยธรรม,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
แผ่นดินธรรม,0,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
กล้าธรรม,2,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
พลังประชารัฐ,1,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
โอกาสใหม่,1,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
เป็นธรรม,1,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ประชาชน,543,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ประชาไทย,2,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
ไทยสร้างไทย,6,ล่วงหน้านอกเขต,บัญชีรายชื่อ,,,advance_outside_district_and_overseas__ส.ส.5-17(บช)-ชุดที่ 1.csv
